Port,Protocol,Count
58939,udp,1
2698,udp,1
59442,udp,1
47359,udp,1
43979,udp,1
18500,tcp,1
25353,tcp,1
23396,tcp,1
20706,udp,1
60310,tcp,1
8841,tcp,1
56169,udp,1
62635,tcp,1
19886,udp,1
25523,tcp,1
1602,udp,1
18306,tcp,1
62739,udp,1
29988,udp,1
49018,tcp,1
9610,udp,1
53108,udp,1
55779,udp,1
18594,udp,1
51497,udp,1
10353,udp,1
10199,tcp,1
55708,udp,1
33419,tcp,1
64178,udp,1
53140,udp,1
20835,tcp,1
60309,udp,1
31811,udp,1
36697,udp,1
56219,tcp,1
36570,udp,1
59837,udp,1
28214,udp,1
38341,udp,1
26420,tcp,1
17351,tcp,1
30413,udp,1
41975,udp,1
45347,udp,1
19130,tcp,1
23720,udp,1
38405,udp,1
61746,tcp,1
14346,tcp,1
55167,tcp,1
27527,tcp,1
60558,udp,1
2500,udp,1
20665,tcp,1
51982,tcp,1
48884,tcp,1
28857,udp,1
18876,tcp,1
13319,udp,1
52685,tcp,1
10933,udp,1
49879,udp,1
36030,tcp,1
38847,tcp,1
62764,udp,1
48450,udp,1
38550,tcp,1
23027,udp,1
54397,udp,1
27946,tcp,1
61367,udp,1
5674,tcp,1
10702,udp,1
1293,tcp,1
64669,udp,1
7395,udp,1
22451,tcp,1
40805,tcp,1
26840,tcp,1
44580,udp,1
28480,udp,1
15315,tcp,1
59409,udp,1
52011,udp,1
58970,udp,1
41541,tcp,1
31632,udp,1
13344,udp,1
5336,tcp,1
57036,tcp,1
32450,udp,1
43949,tcp,1
61190,tcp,1
37797,tcp,1
52502,udp,1
23993,tcp,1
49549,udp,1
50610,tcp,1
33227,udp,1
16316,udp,1
65522,udp,1
25764,tcp,1
33345,tcp,1
21755,udp,1
26370,udp,1
6572,tcp,1
38301,tcp,1
60638,udp,1
6634,tcp,1
27863,tcp,1
20480,udp,1
55539,udp,1
18465,tcp,1
54561,tcp,1
50810,udp,1
57713,tcp,1
50313,udp,1
37041,udp,1
56421,tcp,1
6360,udp,1
9216,tcp,1
46186,tcp,1
50520,tcp,1
31367,udp,1
11445,tcp,1
63171,udp,1
19071,udp,1
27276,tcp,1
50262,tcp,1
10339,udp,1
14037,udp,1
15039,tcp,1
55711,tcp,1
23742,tcp,1
35409,udp,1
42239,tcp,1
35291,tcp,1
12103,tcp,1
18320,tcp,1
7527,tcp,1
42502,tcp,1
38072,udp,1
28612,tcp,1
22783,tcp,1
21416,udp,1
58241,udp,1
5272,tcp,1
47721,udp,1
33074,udp,1
55920,udp,1
58350,tcp,1
49427,tcp,1
3809,tcp,1
15136,tcp,1
19043,tcp,1
25114,tcp,1
36702,tcp,1
59517,udp,1
28183,tcp,1
44905,udp,1
46437,tcp,1
62591,udp,1
36803,udp,1
55412,udp,1
47923,tcp,1
50555,udp,1
42321,udp,1
28977,tcp,1
42251,tcp,1
29656,udp,1
34776,udp,1
8561,udp,1
16947,tcp,1
31953,udp,1
60673,udp,1
48593,udp,1
9608,tcp,1
30334,udp,1
19538,udp,1
48444,udp,1
30258,tcp,1
45990,tcp,1
29699,tcp,1
14786,udp,1
13206,tcp,1
15337,udp,1
34934,udp,1
56877,tcp,1
2231,udp,1
29408,udp,1
32289,tcp,1
38217,udp,1
30809,udp,1
42645,tcp,1
57816,udp,1
41228,udp,1
36738,tcp,1
32673,udp,1
54389,udp,1
23298,tcp,1
55905,udp,1
47501,udp,1
55419,tcp,1
42566,tcp,1
32780,udp,1
10811,tcp,1
50080,udp,1
7089,tcp,1
21832,tcp,1
46007,udp,1
58186,udp,1
55569,tcp,1
45720,udp,1
16554,tcp,1
55798,udp,1
28454,udp,1
46900,tcp,1
45382,udp,1
14838,tcp,1
61555,udp,1
5021,tcp,1
22510,udp,1
13609,tcp,1
19099,tcp,1
13313,tcp,1
48602,udp,1
7210,tcp,1
21524,udp,1
42867,udp,1
38955,tcp,1
25014,tcp,1
56590,tcp,1
39935,udp,1
22410,udp,1
23261,tcp,1
4887,udp,1
52078,tcp,1
58945,udp,1
3428,udp,1
9414,udp,1
48001,tcp,1
38805,udp,1
60352,udp,1
60553,tcp,2
15022,udp,1
21424,udp,1
50068,tcp,1
27173,udp,1
17254,tcp,1
21680,udp,1
20036,udp,1
14985,tcp,1
39001,udp,1
14799,tcp,1
23353,tcp,1
56940,tcp,1
4248,udp,1
33374,tcp,1
47298,tcp,1
35095,udp,1
54073,tcp,1
15103,tcp,1
5009,udp,1
5193,udp,1
56576,udp,1
29139,udp,1
31161,udp,1
43018,tcp,1
30038,udp,1
64988,tcp,1
36992,udp,1
42202,udp,1
28661,udp,1
56649,udp,1
61282,tcp,1
33849,udp,1
58154,tcp,1
18937,udp,1
43936,tcp,1
35595,udp,1
29937,udp,1
11375,udp,1
20467,tcp,1
52029,tcp,1
