dstport,protocol,tag
80,TCP,HTTP
443,TCP,HTTPS
22,TCP,SSH
25,TCP,SMTP
53,UDP,DNS
8080,TCP,HTTP Proxy
4433,TCP,NGINX Proxy
21,TCP,FTP
20,TCP,FTP Data
23,TCP,Telnet
587,TCP,SMTP Submission
993,TCP,IMAP
995,TCP,POP3
143,TCP,IMAP SSL
994,TCP,POP3 SSL
465,TCP,SMTP SSL
110,TCP,POP3
995,TCP,POP3 SSL
19858,TCP,HTTP
58885,UDP,FTP
39578,ICMP,IMAP
33978,ICMP,IMAP
4009,UDP,POP3
2115,UDP,Telnet
41081,ICMP,SSH
64654,TCP,FTP
18890,TCP,DNS
55266,ICMP,FTP
52989,ICMP,FTP
39567,UDP,SSH
54500,TCP,HTTPS
20965,ICMP,HTTP
3689,ICMP,SSH
4618,UDP,FTP
57804,TCP,SMTP
16785,ICMP,SSH
3210,ICMP,HTTPS
8059,TCP,Telnet
59650,UDP,SSH
37983,TCP,IMAP
31449,UDP,POP3
51400,TCP,SSH
52153,TCP,HTTP
32554,UDP,Telnet
37687,ICMP,SSH
11282,UDP,SMTP
56272,TCP,HTTP
28649,UDP,POP3
6291,TCP,FTP
32296,UDP,HTTPS
43384,ICMP,DNS
29438,ICMP,DNS
52411,UDP,SSH
2251,TCP,HTTPS
37175,ICMP,HTTPS
39456,TCP,Telnet
31060,UDP,FTP
64315,TCP,HTTP
12887,UDP,HTTPS
28938,TCP,IMAP
55337,UDP,SSH
14685,TCP,Telnet
2929,ICMP,FTP
3117,UDP,IMAP
60916,ICMP,DNS
21115,ICMP,SMTP
38333,ICMP,FTP
64289,TCP,POP3
21046,UDP,Telnet
35991,TCP,IMAP
51742,UDP,HTTPS
44282,ICMP,Telnet
61042,UDP,HTTP
59359,ICMP,HTTP
33861,UDP,HTTP
58780,ICMP,HTTPS
7347,TCP,SSH
31597,UDP,HTTPS
44785,TCP,HTTPS
60275,TCP,HTTPS
64850,ICMP,SMTP
31602,ICMP,Telnet
6077,TCP,DNS
5844,ICMP,HTTP
25843,TCP,POP3
13116,ICMP,POP3
45559,UDP,SMTP
20859,TCP,DNS
28543,TCP,DNS
37867,UDP,DNS
28923,TCP,HTTP
51682,UDP,SSH
16870,ICMP,IMAP
57535,TCP,SMTP
34867,ICMP,Telnet
1539,UDP,SMTP
33037,UDP,HTTPS
9301,TCP,SSH
57922,ICMP,Telnet
42963,UDP,POP3
58837,TCP,IMAP
22447,ICMP,POP3
5960,UDP,POP3
49554,UDP,SSH
30767,UDP,HTTP
8445,TCP,IMAP
48061,UDP,IMAP
32324,UDP,DNS
62076,TCP,IMAP
62231,ICMP,SSH
29358,TCP,SMTP
49973,TCP,SMTP
37197,TCP,SMTP
41011,ICMP,DNS
59468,TCP,SSH
63011,TCP,Telnet
53168,ICMP,POP3
33227,ICMP,Telnet
54695,ICMP,SMTP
6869,ICMP,FTP
44380,ICMP,DNS
23613,TCP,Telnet
28162,TCP,HTTP
25039,TCP,IMAP
4903,ICMP,Telnet
32383,TCP,HTTPS
1030,UDP,POP3
3046,TCP,IMAP
43694,UDP,FTP
18763,UDP,IMAP
32491,ICMP,HTTP
56438,ICMP,SMTP
45023,TCP,HTTPS
27403,ICMP,POP3
48499,UDP,HTTPS
41047,UDP,FTP
39593,TCP,SSH
32893,UDP,HTTPS
12175,ICMP,FTP
19607,UDP,IMAP
5016,ICMP,HTTP
43307,TCP,HTTP
43419,TCP,IMAP
17521,TCP,POP3
40929,TCP,HTTPS
37792,TCP,FTP
50882,ICMP,SSH
38202,ICMP,POP3
30898,TCP,HTTP
58464,TCP,HTTPS
19530,UDP,DNS
22196,UDP,SSH
9559,UDP,HTTPS
18574,TCP,HTTP
34525,ICMP,Telnet
22315,TCP,HTTPS
39690,ICMP,SSH
18713,ICMP,HTTP
1230,UDP,DNS
35071,UDP,Telnet
29980,UDP,DNS
50641,UDP,SSH
27577,TCP,DNS
35459,TCP,FTP
14181,UDP,SSH
29768,TCP,HTTP
28359,UDP,SMTP
24320,TCP,FTP
522,UDP,SSH
23618,TCP,Telnet
41103,TCP,SSH
65403,ICMP,SSH
33510,UDP,SMTP
11166,UDP,SMTP
59828,ICMP,HTTPS
32234,UDP,HTTP
16166,ICMP,SSH
60572,TCP,POP3
52070,UDP,SMTP
30194,ICMP,SMTP
3689,UDP,HTTPS
48018,UDP,IMAP
23832,TCP,Telnet
15838,ICMP,Telnet
29617,UDP,POP3
4686,TCP,DNS
49644,TCP,DNS
56535,UDP,DNS
45668,ICMP,Telnet
24454,UDP,DNS
45473,TCP,IMAP
40441,ICMP,DNS
6822,TCP,Telnet
2380,ICMP,HTTP
21683,UDP,HTTP
12889,UDP,SMTP
63272,TCP,HTTP
63101,TCP,DNS
12970,UDP,FTP
22133,ICMP,SSH
55514,UDP,SMTP
9084,UDP,DNS
181,UDP,HTTPS
51702,UDP,Telnet
20780,UDP,Telnet
11343,TCP,SMTP
33907,ICMP,FTP
6865,ICMP,SMTP
22973,TCP,IMAP
60935,ICMP,IMAP
43859,TCP,Telnet
11693,ICMP,SSH
25224,UDP,POP3
34964,UDP,SMTP
10179,TCP,DNS
36966,UDP,Telnet
453,TCP,SSH
23435,UDP,SMTP
44720,UDP,IMAP
38795,TCP,IMAP
2755,UDP,HTTPS
54695,ICMP,POP3
26810,UDP,HTTP
24360,ICMP,SMTP
52855,UDP,Telnet
10057,ICMP,SSH
8752,ICMP,POP3
52754,ICMP,FTP
63619,ICMP,DNS
59530,TCP,HTTP
37555,TCP,FTP
9795,ICMP,HTTP
42514,TCP,FTP
19365,TCP,HTTPS
15973,UDP,IMAP
23650,UDP,FTP
41612,ICMP,HTTPS
55656,ICMP,IMAP
18391,UDP,IMAP
55615,ICMP,SSH
60801,UDP,POP3
11787,ICMP,SMTP
45075,UDP,IMAP
21746,UDP,IMAP
4086,UDP,SSH
20656,ICMP,HTTP
54340,TCP,FTP
48647,ICMP,FTP
56577,TCP,Telnet
47891,UDP,IMAP
14004,ICMP,IMAP
26975,TCP,HTTPS
62173,TCP,HTTP
23852,ICMP,SMTP
34502,UDP,SMTP
53126,TCP,HTTP
51171,UDP,HTTP
46352,ICMP,FTP
45335,UDP,FTP
21609,UDP,HTTPS
27843,UDP,SMTP
1460,ICMP,IMAP
14538,ICMP,SSH
22945,ICMP,HTTPS
34241,UDP,Telnet
56281,UDP,Telnet
44672,ICMP,SSH
26552,ICMP,FTP
62906,ICMP,FTP
3396,UDP,HTTP
15866,TCP,SSH
31004,TCP,FTP
62590,TCP,HTTPS
40394,TCP,DNS
5304,UDP,DNS
50847,TCP,SMTP
36806,TCP,FTP
32886,UDP,POP3
56985,TCP,SMTP
53297,ICMP,IMAP
3242,UDP,SSH
12763,ICMP,HTTP
54842,ICMP,IMAP
45653,ICMP,SMTP
13504,ICMP,IMAP
3077,TCP,SMTP
41398,ICMP,HTTP
24383,ICMP,HTTPS
6021,TCP,SSH
43269,UDP,FTP
62373,ICMP,IMAP
72,UDP,POP3
22073,ICMP,HTTPS
17732,UDP,POP3
14192,UDP,FTP
39578,TCP,POP3
20497,UDP,IMAP
9707,TCP,IMAP
20524,TCP,IMAP
15439,UDP,HTTP
39889,ICMP,DNS
53054,TCP,Telnet
48487,ICMP,HTTP
57124,ICMP,HTTPS
56526,UDP,IMAP
416,UDP,SMTP
2796,ICMP,DNS
62581,TCP,SSH
1614,TCP,HTTPS
3366,TCP,POP3
44890,TCP,POP3
43598,UDP,FTP
2070,TCP,HTTPS
13863,ICMP,SSH
57080,TCP,HTTP
42720,ICMP,FTP
37196,ICMP,Telnet
27562,TCP,HTTPS
54689,UDP,IMAP
22636,TCP,SMTP
25730,ICMP,FTP
13836,UDP,DNS
56916,UDP,IMAP
4594,ICMP,DNS
19526,UDP,FTP
20968,TCP,HTTPS
21661,ICMP,POP3
42850,TCP,DNS
18866,TCP,DNS
55573,ICMP,SMTP
7234,ICMP,HTTPS
30640,UDP,Telnet
44986,ICMP,HTTPS
41680,ICMP,HTTPS
55750,ICMP,HTTPS
18031,ICMP,HTTP
17663,TCP,Telnet
48742,ICMP,SSH
27427,ICMP,POP3
157,UDP,FTP
4524,TCP,DNS
1131,UDP,IMAP
64601,TCP,HTTP
54181,ICMP,HTTP
36835,UDP,Telnet
58989,UDP,DNS
5310,TCP,SMTP
38132,TCP,SSH
35802,UDP,HTTPS
20318,TCP,SSH
15553,TCP,HTTPS
17200,UDP,HTTP
61716,TCP,SMTP
18853,UDP,SMTP
64973,UDP,HTTP
57113,TCP,FTP
40231,TCP,POP3
23878,ICMP,HTTP
59407,UDP,HTTPS
28628,ICMP,POP3
24109,TCP,HTTP
10352,ICMP,SMTP
51069,UDP,HTTP
49365,ICMP,SSH
40134,ICMP,SMTP
61576,ICMP,Telnet
28998,UDP,HTTP
47923,TCP,Telnet
56841,ICMP,SMTP
26802,ICMP,IMAP
29806,TCP,DNS
43877,ICMP,SMTP
47824,UDP,SMTP
15559,ICMP,HTTP
38391,ICMP,FTP
9140,ICMP,FTP
52057,UDP,HTTPS
26236,UDP,FTP
54562,UDP,IMAP
59128,UDP,SMTP
25856,TCP,DNS
17611,ICMP,FTP
16800,TCP,IMAP
29112,ICMP,IMAP
29935,TCP,HTTPS
1989,ICMP,HTTPS
57692,UDP,SMTP
6441,UDP,IMAP
49722,UDP,FTP
64211,ICMP,IMAP
4689,ICMP,HTTP
59797,ICMP,DNS
30079,ICMP,HTTP
25164,TCP,HTTPS
52725,ICMP,SSH
2742,ICMP,IMAP
30617,UDP,HTTPS
37935,UDP,SSH
19006,TCP,SSH
57528,ICMP,HTTPS
2246,ICMP,SSH
55774,TCP,SSH
12818,ICMP,POP3
10786,UDP,DNS
45450,TCP,SMTP
64903,ICMP,HTTPS
52156,UDP,Telnet
22639,ICMP,SMTP
61729,ICMP,HTTPS
19137,TCP,SSH
32391,UDP,IMAP
8278,UDP,Telnet
8976,UDP,SSH
53145,UDP,POP3
13931,TCP,FTP
44803,ICMP,IMAP
57137,UDP,POP3
51520,UDP,DNS
65011,TCP,FTP
18064,UDP,FTP
28586,TCP,SSH
17159,UDP,SMTP
44347,UDP,HTTPS
34523,ICMP,IMAP
32369,TCP,FTP
50802,TCP,SMTP
25773,ICMP,POP3
47895,ICMP,SSH
59394,TCP,SSH
23020,TCP,DNS
6740,ICMP,HTTPS
15684,ICMP,Telnet
26315,ICMP,HTTP
32568,UDP,IMAP
52528,UDP,Telnet
4545,ICMP,HTTPS
54550,ICMP,SMTP
19601,TCP,SSH
40018,UDP,HTTPS
24464,ICMP,Telnet
14420,TCP,HTTP
65463,ICMP,DNS
32675,TCP,FTP
38004,ICMP,HTTPS
12394,ICMP,FTP
57386,UDP,SSH
3849,ICMP,HTTP
39487,TCP,FTP
6159,UDP,SSH
46360,ICMP,DNS
4871,UDP,IMAP
3090,TCP,HTTP
4630,TCP,POP3
21555,ICMP,HTTPS
38806,UDP,SMTP
39972,ICMP,Telnet
36044,ICMP,SMTP
9353,UDP,Telnet
329,TCP,SMTP
44796,TCP,POP3
8695,TCP,HTTP
42528,UDP,Telnet
65280,ICMP,POP3
37671,UDP,DNS
46619,TCP,IMAP
6332,ICMP,POP3
54312,ICMP,HTTP
27957,ICMP,SMTP
29878,ICMP,HTTP
24014,ICMP,DNS
46915,ICMP,SSH
1161,TCP,SSH
18705,TCP,POP3
30410,TCP,HTTP
30101,UDP,IMAP
2911,ICMP,SMTP
40323,TCP,HTTPS
17508,TCP,POP3
22623,ICMP,IMAP
39117,TCP,HTTPS
24921,UDP,SSH
18809,UDP,POP3
45239,UDP,POP3
61122,TCP,HTTP
5123,TCP,SMTP
49277,TCP,Telnet
41053,TCP,FTP
57714,TCP,IMAP
16886,ICMP,SSH
63077,ICMP,FTP
59468,TCP,SMTP
8275,ICMP,HTTP
19176,TCP,SSH
41820,TCP,IMAP
885,UDP,FTP
14491,ICMP,SMTP
9214,UDP,HTTPS
60756,ICMP,IMAP
51830,UDP,FTP
35964,ICMP,DNS
38847,UDP,SMTP
11136,ICMP,FTP
30993,UDP,DNS
41840,ICMP,IMAP
10067,UDP,HTTP
55119,TCP,Telnet
33316,TCP,POP3
25064,UDP,Telnet
57510,TCP,SSH
19866,ICMP,HTTPS
52321,UDP,SMTP
10406,UDP,IMAP
12397,TCP,HTTP
11628,TCP,DNS
45986,UDP,SSH
1896,ICMP,HTTPS
7061,UDP,POP3
17465,TCP,HTTP
41294,ICMP,POP3
59955,ICMP,HTTP
62878,UDP,HTTPS
63286,UDP,Telnet
19049,ICMP,Telnet
56902,ICMP,POP3
14961,UDP,POP3
5105,ICMP,FTP
47439,TCP,SMTP
13545,TCP,HTTPS
40067,ICMP,FTP
59341,ICMP,HTTPS
28177,ICMP,FTP
43942,UDP,DNS
56606,TCP,HTTP
51891,ICMP,SMTP
48204,UDP,SSH
43712,ICMP,POP3
32645,UDP,Telnet
7180,TCP,HTTPS
27809,ICMP,SSH
16658,UDP,POP3
31800,ICMP,HTTPS
40969,ICMP,IMAP
35057,UDP,IMAP
33308,UDP,IMAP
48220,TCP,HTTP
25182,UDP,Telnet
27785,UDP,DNS
49087,UDP,FTP
37156,ICMP,POP3
20969,ICMP,HTTPS
4233,ICMP,POP3
15316,TCP,Telnet
13477,UDP,Telnet
58267,ICMP,DNS
50943,UDP,HTTP
51986,UDP,HTTP
21931,TCP,SSH
12146,ICMP,HTTPS
2343,TCP,FTP
47448,ICMP,HTTPS
11185,UDP,HTTP
25092,TCP,SSH
54060,UDP,POP3
22314,UDP,HTTPS
5887,ICMP,SMTP
8762,TCP,DNS
64605,ICMP,HTTP
26163,ICMP,DNS
34615,TCP,Telnet
41859,UDP,HTTP
28363,ICMP,FTP
60077,ICMP,SSH
59171,TCP,IMAP
15943,TCP,DNS
48916,ICMP,DNS
5122,ICMP,HTTPS
37644,ICMP,IMAP
34152,UDP,FTP
1990,TCP,HTTPS
63360,ICMP,IMAP
25225,ICMP,HTTPS
23349,ICMP,SMTP
5417,ICMP,IMAP
38611,UDP,Telnet
56439,UDP,Telnet
65478,ICMP,HTTPS
55563,ICMP,SSH
65285,ICMP,POP3
10157,UDP,DNS
36752,ICMP,HTTP
9562,ICMP,HTTP
61627,UDP,Telnet
6097,UDP,Telnet
65117,ICMP,HTTP
40492,ICMP,POP3
58889,ICMP,SSH
795,TCP,DNS
16269,TCP,SSH
49766,TCP,FTP
51312,UDP,DNS
47791,ICMP,FTP
60697,ICMP,POP3
51131,TCP,POP3
40799,TCP,FTP
47467,ICMP,DNS
28192,ICMP,FTP
62376,TCP,SMTP
53729,ICMP,SMTP
39375,ICMP,Telnet
13081,ICMP,FTP
49925,TCP,POP3
54238,UDP,Telnet
50630,ICMP,FTP
47603,TCP,HTTPS
25969,ICMP,SSH
1821,UDP,DNS
31616,ICMP,SSH
7134,UDP,Telnet
24003,ICMP,SMTP
16271,ICMP,HTTP
61483,TCP,HTTP
30947,ICMP,IMAP
44596,TCP,FTP
26266,UDP,HTTPS
7286,TCP,DNS
41315,UDP,HTTPS
36555,ICMP,POP3
25107,UDP,SSH
55506,UDP,HTTP
27173,UDP,DNS
65255,TCP,POP3
19622,ICMP,HTTP
3706,TCP,FTP
23816,TCP,HTTPS
16230,TCP,SSH
44748,UDP,IMAP
63621,TCP,POP3
34208,UDP,SSH
35883,TCP,IMAP
22585,UDP,HTTPS
57841,TCP,SMTP
16333,TCP,HTTP
4681,UDP,IMAP
57377,TCP,DNS
4880,UDP,HTTP
47714,ICMP,POP3
54928,ICMP,HTTPS
38507,TCP,SMTP
13776,TCP,Telnet
40705,UDP,SSH
10992,TCP,HTTPS
21337,UDP,IMAP
52080,TCP,HTTPS
46426,ICMP,FTP
59814,ICMP,DNS
30513,TCP,HTTPS
10123,ICMP,IMAP
4237,ICMP,HTTP
31788,ICMP,IMAP
50866,ICMP,HTTP
23690,TCP,SMTP
18783,UDP,IMAP
52061,UDP,IMAP
34197,UDP,SMTP
14314,ICMP,HTTP
40902,ICMP,SSH
22876,TCP,FTP
990,UDP,SSH
24441,TCP,HTTP
44487,ICMP,Telnet
49966,UDP,HTTPS
49870,ICMP,IMAP
38185,TCP,FTP
12984,ICMP,FTP
11481,TCP,HTTPS
41727,ICMP,HTTP
46246,TCP,HTTPS
19667,UDP,Telnet
11697,ICMP,Telnet
2279,TCP,POP3
37112,TCP,HTTPS
64445,TCP,Telnet
52607,TCP,POP3
21364,ICMP,Telnet
8429,ICMP,SSH
30110,UDP,SMTP
15207,UDP,FTP
59175,TCP,IMAP
42727,TCP,IMAP
1259,ICMP,Telnet
11347,UDP,IMAP
49435,UDP,POP3
28306,TCP,Telnet
49782,TCP,POP3
36781,TCP,HTTPS
613,TCP,IMAP
35985,UDP,POP3
38470,ICMP,HTTPS
25036,ICMP,Telnet
42151,ICMP,SMTP
17942,ICMP,IMAP
8374,TCP,Telnet
23072,ICMP,Telnet
49854,ICMP,FTP
41886,ICMP,DNS
2663,TCP,Telnet
27732,UDP,IMAP
26984,ICMP,FTP
